TIME,DEPTH
59.0861,249.527
59.0961,249.527
59.1061,249.527
59.1161,249.527
59.1261,249.527
59.1361,249.527
59.1461,249.527
59.1561,249.527
59.1661,249.527
59.1761,249.527
59.1861,249.527
59.1961,249.527
59.2061,249.527
59.2161,249.527
59.2261,249.527
59.2361,249.527
59.2461,249.527
59.2561,249.527
59.2661,249.527
59.2761,249.527
59.2861,249.527
59.2961,249.527
59.3061,249.527
59.3161,249.527
59.326,249.527
59.336,249.527
59.346,249.527
59.356,249.527
59.366,249.527
59.376,249.527
59.386,249.527
59.396,249.527
59.406,249.527
59.416,249.527
59.426,249.527
59.436,249.527
59.446,249.527
59.456,249.527
59.466,249.527
59.476,249.527
59.486,249.527
59.496,249.527
59.506,249.527
59.516,249.527
59.526,249.527
59.536,249.527
59.546,249.527
59.556,249.527
59.566,249.527
59.576,249.527
59.586,249.527
59.596,249.527
59.606,249.527
59.616,249.527
59.626,249.527
59.636,249.527
59.646,249.527
59.656,249.527
59.666,249.527
59.676,249.527
59.686,249.527
59.696,249.527
59.706,249.527
59.716,249.527
59.726,249.527
59.736,249.527
59.746,249.527
59.756,249.527
59.766,249.527
59.776,249.527
59.786,249.527
59.796,249.527
59.806,249.527
59.816,249.527
59.826,249.527
59.836,249.527
59.846,249.527
59.856,249.527
59.866,249.527
59.876,249.527
59.886,249.527
59.896,249.527
59.906,249.527
59.916,249.527
59.9259,249.527
59.9359,249.527
59.9459,249.527
59.9559,249.527
59.9659,249.527
59.9759,249.527
59.9859,249.527
59.9959,249.527
60.0059,249.527
60.0159,249.527
60.0259,249.527
60.0359,249.527
60.0459,249.527
60.0559,249.527
60.0659,249.527
60.0759,249.527
60.0859,249.527
60.0959,249.527
60.1059,249.527
60.1159,249.527
60.1259,249.527
60.1359,249.527
60.1459,249.527
60.1559,249.527
60.1659,249.527
60.1759,249.527
60.1859,249.527
60.1959,249.527
60.2059,249.527
60.2159,249.527
60.2259,249.527
60.2359,249.527
60.2459,249.527
60.2559,249.527
60.2659,249.527
60.2759,249.527
60.2859,249.527
60.2959,249.527
60.3059,249.527
60.3159,249.527
60.3259,249.527
60.3359,249.527
60.3459,249.527
60.3559,249.527
60.3659,249.527
60.3759,249.527
60.3859,249.527
60.3959,249.527
60.4059,249.527
60.4159,249.527
60.4259,249.527
60.4359,249.527
60.4459,249.527
60.4559,249.527
60.4659,249.527
60.4759,249.527
60.4859,249.527
60.4959,249.527
60.5059,249.527
60.5159,249.527
60.5258,249.527
60.5358,249.527
60.5458,249.527
60.5558,249.527
60.5658,249.527
60.5758,249.527
60.5858,249.527
60.5958,249.527
60.6058,249.527
60.6158,249.527
60.6258,249.527
60.6358,249.527
60.6458,249.527
60.6558,249.527
60.6658,249.527
60.6758,249.527
60.6858,249.527
60.6958,249.527
60.7058,249.527
60.7158,249.527
60.7258,249.527
60.7358,249.527
60.7458,249.527
60.7558,249.527
60.7658,249.527
60.7758,249.527
60.7858,249.527
60.7958,249.527
60.8058,249.527
60.8158,249.527
60.8258,249.527
60.8358,249.527
60.8458,249.527
60.8558,249.527
60.8658,249.527
60.8758,249.527
60.8858,249.527
60.8958,249.527
60.9058,249.527
60.9158,249.527
60.9258,249.527
60.9358,249.527
60.9458,249.526
60.9558,249.526
60.9658,249.526
60.9758,249.526
60.9858,249.526
60.9958,249.526
61.0058,249.526
61.0158,249.526
61.0258,249.526
61.0358,249.526
61.0458,249.526
61.0558,249.526
61.0658,249.526
61.0758,249.526
61.0858,249.526
61.0958,249.526
61.1058,249.526
61.1157,249.526
61.1257,249.526
61.1357,249.526
61.1457,249.526
61.1557,249.526
61.1657,249.526
61.1757,249.526
61.1857,249.526
61.1957,249.526
61.2057,249.526
61.2157,249.526
61.2257,249.526
61.2357,249.526
61.2457,249.526
61.2557,249.526
61.2657,249.526
61.2757,249.526
61.2857,249.526
61.2957,249.526
61.3057,249.526
61.3157,249.526
61.3257,249.526
61.3357,249.526
61.3457,249.526
61.3557,249.526
61.3657,249.526
61.3757,249.526
61.3857,249.526
61.3957,249.526
61.4057,249.526
61.4157,249.526
61.4257,249.526
61.4357,249.526
61.4457,249.526
61.4557,249.526
61.4657,249.526
61.4757,249.526
61.4857,249.526
61.4957,249.526
61.5057,249.526
61.5157,249.526
61.5257,249.526
61.5357,249.526
61.5457,249.526
61.5557,249.526
61.5657,249.526
61.5757,249.526
61.5857,249.526
61.5957,249.526
61.6057,249.526
61.6157,249.526
61.6257,249.526
61.6357,249.526
61.6457,249.526
61.6557,249.526
61.6657,249.526
61.6757,249.526
61.6857,249.526
61.6957,249.526
61.7057,249.526
61.7156,249.526
61.7256,249.526
61.7356,249.526
61.7456,249.526
61.7556,249.526
61.7656,249.526
61.7756,249.526
61.7856,249.526
61.7956,249.526
61.8056,249.526
61.8156,249.526
61.8256,249.526
61.8356,249.526
61.8456,249.526
61.8556,249.526
61.8656,249.526
61.8756,249.526
61.8856,249.526
61.8956,249.526
61.9056,249.526
61.9156,249.526
61.9256,249.526
61.9356,249.526
61.9456,249.526
61.9556,249.526
61.9656,249.526
61.9756,249.526
61.9856,249.526
61.9956,249.526
62.0056,249.526
62.0156,249.526
62.0256,249.526
62.0356,249.526
62.0456,249.526
62.0556,249.526
62.0656,249.526
62.0756,249.526
62.0856,249.526
62.0956,249.526
62.1056,249.526
62.1156,249.526
62.1256,249.526
62.1356,249.526
62.1456,249.526
62.1556,249.526
62.1656,249.526
62.1756,249.526
62.1856,249.526
62.1956,249.526
62.2056,249.526
62.2156,249.526
62.2256,249.526
62.2356,249.526
62.2456,249.526
62.2556,249.526
62.2656,249.526
62.2756,249.526
62.2856,249.526
62.2956,249.526
62.3055,249.526
62.3155,249.526
62.3255,249.526
62.3355,249.526
62.3455,249.526
62.3555,249.526
62.3655,249.526
62.3755,249.526
62.3855,249.526
62.3955,249.526
62.4055,249.526
62.4155,249.526
62.4255,249.526
62.4355,249.526
62.4455,249.526
62.4555,249.526
62.4655,249.526
62.4755,249.526
62.4855,249.526
62.4955,249.526
62.5055,249.526
62.5155,249.526
62.5255,249.526
62.5355,249.526
62.5455,249.526
62.5555,249.526
62.5655,249.526
62.5755,249.526
62.5855,249.526
62.5955,249.526
62.6055,249.526
62.6155,249.526
62.6255,249.526
62.6355,249.526
62.6455,249.526
62.6555,249.526
62.6655,249.526
62.6755,249.526
62.6855,249.526
62.6955,249.526
62.7055,249.526
62.7155,249.526
